Date,Price_DayAhead,Load_Forecast,Solar,Wind_Offshore,Wind_Onshore
2018-10-10 03:00:00+02:00,54.05,,0.0,902.01,2811.53
2018-10-10 04:00:00+02:00,54.64,,0.0,665.8,2657.61
2018-10-10 05:00:00+02:00,55.46,,0.0,469.91,2646.11
2018-10-10 06:00:00+02:00,72.16,,0.0,355.35,2919.01
2018-10-10 07:00:00+02:00,88.0,,9.3,294.81,3366.27
2018-10-10 08:00:00+02:00,93.22,,1089.94,269.3,3964.29
2018-10-10 09:00:00+02:00,86.84,,5877.8,295.01,4351.24
2018-10-10 10:00:00+02:00,80.81,,11477.16,358.3,4398.59
2018-10-10 11:00:00+02:00,73.69,,16249.1,435.59,3917.3
2018-10-10 12:00:00+02:00,55.27,,19483.46,515.52,3810.89
2018-10-10 13:00:00+02:00,53.61,,20741.16,587.09,4432.18
2018-10-10 14:00:00+02:00,51.99,,20003.82,691.28,5454.48
2018-10-10 15:00:00+02:00,53.68,,17331.73,916.45,6808.5
2018-10-10 16:00:00+02:00,57.47,,12684.23,1274.79,8087.42
2018-10-10 17:00:00+02:00,69.3,,6442.03,1767.85,9518.12
2018-10-10 18:00:00+02:00,70.68,,1059.42,2534.63,12584.04
2018-10-10 19:00:00+02:00,72.88,,0.0,3343.25,16435.26
2018-10-10 20:00:00+02:00,53.71,,0.0,3877.53,19028.87
2018-10-10 21:00:00+02:00,51.18,,0.0,4222.08,19700.41
2018-10-10 22:00:00+02:00,46.74,,0.0,4425.89,19480.57
2018-10-10 23:00:00+02:00,33.04,,0.0,4554.4,19323.22
2018-10-11 00:00:00+02:00,35.01,,0.0,4597.5,18698.1
2018-10-11 01:00:00+02:00,31.71,,0.0,4695.38,18420.53
2018-10-11 02:00:00+02:00,29.97,46258.81,0.0,4616.2,18249.53
2018-10-11 03:00:00+02:00,30.05,46348.14,0.0,4506.81,17897.74
2018-10-11 04:00:00+02:00,35.85,47179.33,0.0,4343.33,17742.03
2018-10-11 05:00:00+02:00,44.08,49653.46,0.0,4242.92,17541.06
2018-10-11 06:00:00+02:00,49.98,55856.49,0.0,4215.23,17461.55
2018-10-11 07:00:00+02:00,72.96,63410.17,9.6,4198.0,17112.78
2018-10-11 08:00:00+02:00,71.52,66918.75,1489.33,4139.08,16210.48
